"","w1","w2","w3","N"
"609","what","ppause","did",1
"610","ppause","did","we",1
"611","did","we","crash",1
"612","we","crash","or",1
"613","crash","or","something",1
"614","or","something","qquestion",1
"615","something","qquestion","eend",1
"616","zuko","ccomma","show",1
"617","ccomma","show","commander",1
"618","show","commander","zhao",1
"619","commander","zhao","your",1
"620","zhao","your","respect",1
"621","your","respect","pperiod",1
"622","respect","pperiod","we",1
"623","pperiod","we","would",1
"624","we","would","be",1
"625","would","be","honored",1
"626","be","honored","to",1
"627","honored","to","join",1
"628","to","join","you",1
"629","join","you","pperiod",1
"630","you","pperiod","do",1
"631","you","have","any",1
"632","have","any","ginseng",1
"633","any","ginseng","tea",1
"634","ginseng","tea","qquestion",1
"635","tea","qquestion","it's",1
"636","qquestion","it's","my",1
"637","it's","my","favorite",1
"638","sstart","my","fault",1
"639","my","fault","entirely",1
"640","fault","entirely","pperiod",1
"641","entirely","pperiod","eend",1
"642","sstart","sstart","more",1
"643","sstart","more","tea",1
"644","more","tea","please",1
"645","tea","please","qquestion",1
"646","please","qquestion","eend",1
"647","zuko","ccomma","that's",1
"648","ccomma","that's","enough",1
"649","that's","enough","eexclamation",1
"650","enough","eexclamation","eend",1
"651","zuko","ccomma","have",1
"652","ccomma","have","you",1
"653","have","you","forgotten",1
"654","you","forgotten","what",1
"655","forgotten","what","happened",1
"656","what","happened","last",1
"657","happened","last","time",1
"658","last","time","you",1
"659","time","you","dueled",1
"660","you","dueled","a",1
"661","dueled","a","master",1
"662","a","master","qquestion",1
"663","master","qquestion","eend",1
"664","remember","your","firebending",1
"665","your","firebending","basics",1
"666","firebending","basics","ccomma",1
"667","basics","ccomma","prince",1
"668","zuko","pperiod","they",1
"669","they","are","your",1
"670","are","your","greatest",1
"671","your","greatest","weapons",1
"672","greatest","weapons","pperiod",1
"673","weapons","pperiod","eend",1
"674","sstart","sstart","basics",1
"675","sstart","basics","ccomma",1
"676","basics","ccomma","zuko",1
"677","zuko","eexclamation","break",1
"678","eexclamation","break","his",1
"679","break","his","root",1
"680","his","root","eexclamation",1
"681","root","eexclamation","eend",1
"682","no","ccomma","prince",1
"683","zuko","pperiod","do",1
"684","do","not","taint",1
"685","not","taint","your",1
"686","taint","your","victory",1
"687","your","victory","pperiod",1
"688","victory","pperiod","eend",1
"689","sstart","so","this",1
"690","so","this","is",1
"691","this","is","how",1
"692","is","how","the",1
"693","how","the","great",1
"694","the","great","commander",1
"695","great","commander","zhao",1
"696","commander","zhao","acts",1
"697","zhao","acts","in",1
"698","acts","in","defeat",1
"699","in","defeat","pperiod",1
"700","defeat","pperiod","disgraceful",1
"701","pperiod","disgraceful","pperiod",1
"702","disgraceful","pperiod","eend",1
"703","sstart","even","in",1
"704","even","in","exile",1
"705","in","exile","my",1
"706","exile","my","nephew",1
"707","nephew","is","more",1
"708","is","more","honorable",1
"709","more","honorable","than",1
"710","honorable","than","you",1
"711","than","you","pperiod",1
"712","you","pperiod","thanks",1
"713","pperiod","thanks","again",1
"714","thanks","again","for",1
"715","again","for","the",1
"716","for","the","tea",1
"717","the","tea","pperiod",1
"718","tea","pperiod","it",1
"719","it","was","delicious",1
