"","w1","w2","w3","N"
"628","done","pperiod","eend",3
"629","sleep","pperiod","eend",3
"630","the","world","pperiod",3
"631","world","pperiod","eend",3
"632","just","need","to",3
"633","that","way","pperiod",3
"634","ccomma","it","looks",3
"635","toph","pperiod","eend",3
"636","this","is","my",3
"637","this","is","really",3
"638","ccomma","aang","eexclamation",3
"639","please","pperiod","eend",3
"640","war","pperiod","eend",3
"641","ccomma","would","you",3
"642","is","that","qquestion",3
"643","the","darkest","day",3
"644","want","to","know",3
"645","to","know","what",3
"646","need","to","know",3
"647","solar","eclipse","eexclamation",3
"648","ccomma","i","don't",3
"649","sstart","fine","ccomma",3
"650","invade","the","fire",3
"651","come","with","me",3
"652","pperiod","we","just",3
"653","let's","go","eexclamation",3
"654","pperiod","there's","a",3
"655","pperiod","it's","the",3
"656","in","the","middle",3
"657","know","how","to",3
"658","way","ccomma","i",3
"659","that's","a","good",3
"660","sstart","it's","so",3
"661","i","don't","want",3
"662","toph","eexclamation","eend",3
"663","sstart","sstart","were",3
"664","sstart","why","qquestion",3
"665","for","the","king",3
"666","with","me","pperiod",3
"667","the","king","pperiod",3
"668","sstart","i","am",3
"669","ccomma","that","is",3
"670","thank","you","ccomma",3
"671","the","dai","li",3
"672","ccomma","maybe","we",3
"673","to","him","pperiod",3
"674","if","you","ask",3
"675","you","ask","me",3
"676","ask","me","ccomma",3
"677","i","think","we're",3
"678","ahhh","eexclamation","eend",3
"679","in","there","pperiod",3
"680","help","pperiod","eend",3
"681","by","the","fire",3
"682","the","day","of",3
"683","for","the","invasion",3
"684","sstart","oh","yeah",3
"685","sstart","sstart","yep",3
"686","my","dad","and",3
"687","the","invasion","force",3
"688","is","it","pperiod",3
"689","after","cave","ppause",3
"690","what","qquestion","eexclamation",3
"691","pperiod","but","i",3
"692","together","pperiod","eend",3
"693","sstart","sstart","hm",3
"694","pperiod","you","know",3
"695","pperiod","i","know",3
"696","right","now","pperiod",3
"697","sstart","sstart","master",3
"698","ccomma","hawky","pperiod",3
"699","i've","got","an",3
"700","got","an","idea",3
"701","to","do","this",3
"702","it","out","pperiod",3
"703","to","fight","the",3
"704","fight","the","fire",3
"705","have","to","go",3
"706","ccomma","uh","wait",3
"707","the","invasion","plan",3
"708","it","pperiod","i",3
"709","sstart","dad","eexclamation",3
"710","now","pperiod","eend",3
"711","to","keep","the",3
"712","riot","pperiod","eend",3
"713","ccomma","eh","ccomma",3
"714","this","is","how",2
"715","is","how","you",2
"716","catch","a","fish",2
"717","sstart","sstart","shhh",2
"718","pperiod","katara","ccomma",2
"719","ccomma","you're","gonna",2
"720","why","is","it",2
"721","i'm","just","saying",2
"722","if","i","had",2
"723","myself","pperiod","eend",2
"724","maybe","you","should",2
"725","you","should","have",2
"726","us","out","of",2
"727","ice","pperiod","eend",2
"728","i","should","have",2
"729","okay","ccomma","you've",2
"730","katara","pperiod","eend",2
"731","sstart","sstart","yup",2
"732","sstart","yup","pperiod",2
"733","congratulations","pperiod","eend",2
"734","back","here","eexclamation",2
"735","here","eexclamation","we",2
"736","we","don't","know",2
"737","sstart","stop","eexclamation",2
