"","w1","w2","w3","N"
"748","in","the","world",2
"749","pperiod","and","if",2
"750","sstart","sstart","after",2
"751","father","to","me",2
"752","night","qquestion","eend",2
"753","alive","pperiod","eend",2
"754","where","is","my",2
"755","is","the","avatar",2
"756","sstart","hello","ccomma",2
"757","hello","ccomma","zuko",2
"758","ccomma","zuko","here",2
"759","zuko","here","pperiod",2
"760","ccomma","and","i'm",2
"761","uh","ccomma","yeah",2
"762","ccomma","i'm","good",2
"763","i'm","good","now",2
"764","good","now","pperiod",2
"765","mean","ccomma","i",2
"766","i","thought","i",2
"767","but","now","i",2
"768","what","would","uncle",2
"769","join","your","group",2
"770","i'm","not","that",2
"771","know","you","must",2
"772","i","wanted","to",2
"773","your","group","pperiod",2
"774","i've","done","some",2
"775","things","pperiod","i",2
"776","sstart","i","can",2
"777","in","the","past",2
"778","sstart","sstart","look",2
"779","sstart","look","ccomma",2
"780","look","ccomma","i",2
"781","water","tribe","pperiod",2
"782","well","ccomma","that's",2
"783","up","pperiod","eend",2
"784","pperiod","you","know",2
"785","you","know","i",2
"786","me","as","a",2
"787","sstart","sstart","argh",2
"788","sstart","argh","ccomma",2
"789","argh","ccomma","i",2
"790","sstart","stop","eexclamation",2
"791","to","stop","eexclamation",2
"792","stop","eexclamation","eend",2
"793","sstart","sstart","listen",2
"794","listen","ccomma","i",2
"795","pperiod","but","i'm",2
"796","to","learn","the",2
"797","me","pperiod","but",2
"798","no","one","can",2
"799","your","honor","pperiod",2
"800","restore","balance","to",2
"801","balance","to","the",2
"802","to","the","world",2
"803","what","i","did",2
"804","need","to","be",2
"805","pperiod","i'm","so",2
"806","you","down","ccomma",2
"807","avatar","pperiod","i",2
"808","sstart","but","if",2
"809","but","if","you",2
"810","if","you","don't",2
"811","what","was","that",2
"812","sstart","get","out",2
"813","another","way","pperiod",2
"814","well","ccomma","they",2
"815","thousands","of","years",2
"816","find","a","new",2
"817","sstart","sstart","even",2
"818","sstart","even","though",2
"819","about","them","pperiod",2
"820","believe","it","pperiod",2
"821","sstart","sstart","they",2
"822","sun","stone","pperiod",2
"823","stone","pperiod","eend",2
"824","some","kind","of",2
"825","sstart","sstart","ugh",2
"826","sstart","sstart","me",2
"827","way","out","of",2
"828","we","came","here",2
"829","pperiod","but","now",2
"830","ccomma","i","never",2
"831","out","pperiod","eend",2
"832","sstart","sstart","shh",2
"833","sstart","shh","pperiod",2
"834","sstart","sstart","fine",2
"835","sstart","fine","pperiod",2
"836","no","one","else",2
"837","pperiod","do","you",2
"838","my","father","and",2
"839","you","like","to",2
"840","sstart","so","what's",2
"841","do","you","mean",2
"842","the","boiling","rock",2
"843","in","the","middle",2
"844","the","middle","of",2
"845","middle","of","a",2
"846","do","you","need",2
"847","yeah","ccomma","i'm",2
"848","me","ccomma","i",2
"849","get","it","pperiod",2
"850","sstart","how","are",2
"851","sstart","there's","one",2
"852","pperiod","he","was",2
"853","sstart","it","wasn't",2
"854","it","wasn't","that",2
"855","wasn't","that","hard",2
"856","as","long","as",2
"857","you","wanted","to",2
"858","me","on","the",2
"859","prison","qquestion","eend",2
"860","not","here","pperiod",2
"861","silver","sandwich","pperiod",2
"862","sstart","that's","the",2
"863","sstart","how","did",2
"864","did","you","know",2
"865","sstart","yeah","ppause",2
"866","are","you","sure",2
